"ABORIGINAL AND TORRES STRAIT ISLANDER PEOPLES","...2","...3","...4","...5","...6"
"ING_VOLWP1","Voluntary work for an organisation or group - Census","Volunteered for an organisation or group (no.)",0,0,0
"ING_VOLWP2","Voluntary work for an organisation or group - Census","Volunteered for an organisation or group (%)",0,0,0
"ING_TTYPE1","Tenure type - Census","Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.)",0,0,0
"ING_TTYPE2","Tenure type - Census","Owner with or without a mortgage (or being purchased under a shared equity scheme) (%)",0,0,0
"ING_TTYPE3","Tenure type - Census","Renter (no.)",0,0,0
"ING_TTYPE4","Tenure type - Census","Renter (%)",0,0,0
"ING_HMLSS1","Homelessness - Census estimates of homelessness","Estimate of persons who were homeless or likely to be homeless who identified as Aboriginal and/or Torres Strait Islander (no.)",0,0,0
"ING_HMLSS2","Homelessness - Census estimates of homelessness","% of total homeless or likely to be homeless population estimate who identify as Aboriginal and/or Torres Strait Islander",0,NA,0
"ING_YR12C3P1","Closing the Gap Target 5 - People aged 20-24 years - Census","Attained Year 12 or equivalent or Certificate III or above (no.)",0,0,0
"ING_YR12C3P2","Closing the Gap Target 5 - People aged 20-24 years - Census","Attained Year 12 or equivalent or Certificate III or above (%)",0,0,0
"ING_YR12C3P3","Closing the Gap Target 5 - People aged 20-24 years - Census","Total applicable population aged 20-24 years (no.)",0,0,0
"ING_HEAP1","Closing the Gap Target 6 - People aged 25-34 years - Census","Completed tertiary qualification of Certificate III or above (no.)",0,0,0
"ING_HEAP2","Closing the Gap Target 6 - People aged 25-34 years - Census","Completed tertiary qualification of Certificate III or above (%)",0,0,0
"ING_HEAP3","Closing the Gap Target 6 - People aged 25-34 years - Census","Total applicable population aged 25-34 years (no.)",0,0,0
"ING_EETPH1","Closing the Gap Target 7 - People aged 15-24 years - Census","Fully engaged in employment, education or training (no.)",0,0,0
"ING_EETPH2","Closing the Gap Target 7 - People aged 15-24 years - Census","Fully engaged in employment, education or training (%)",0,0,0
"ING_EETPH3","Closing the Gap Target 7 - People aged 15-24 years - Census","Total applicable population aged 15-24 years (no.)",0,0,0
"ING_LFSP1","Closing the Gap Target 8 - People aged 25-64 years - Census","Employed (no.)",0,0,0
"ING_LFSP2","Closing the Gap Target 8 - People aged 25-64 years - Census","Employed (%)",0,0,0
"ING_LFSP3","Closing the Gap Target 8 - People aged 25-64 years - Census","Total applicable population aged 25-64 years (no.)",3,0,0
"ING_HOSD1","Closing the Gap Target 9A - Census","Living in a dwelling with no additional bedrooms required (appropriately sized) (no.)",0,0,0
"ING_HOSD2","Closing the Gap Target 9A - Census","Living in a dwelling with no additional bedrooms required (appropriately sized) (%)",0,0,0
"ING_HOSD3","Closing the Gap Target 9A - Census","Living in a dwelling requiring one additional bedroom (no.)",0,0,0
"ING_HOSD4","Closing the Gap Target 9A - Census","Living in a dwelling requiring one additional bedroom (%)",0,0,0
"ING_HOSD5","Closing the Gap Target 9A - Census","Living in a dwelling requiring two additional bedrooms (no.)",0,0,0
"ING_HOSD6","Closing the Gap Target 9A - Census","Living in a dwelling requiring two additional bedrooms (%)",0,0,0
"ING_HOSD7","Closing the Gap Target 9A - Census","Living in a dwelling requiring three additional bedrooms (no.)",0,0,0
"ING_HOSD8","Closing the Gap Target 9A - Census","Living in a dwelling requiring three additional bedrooms (%)",0,0,0
"ING_HOSD9","Closing the Gap Target 9A - Census","Living in a dwelling requiring four or more additional bedrooms (no.)",0,0,0
"ING_HOSD10","Closing the Gap Target 9A - Census","Living in a dwelling requiring four or more additional bedrooms (%)",0,0,0
"ING_HOSD11","Closing the Gap Target 9A - Census","Total people living in applicable dwellings (no.)",0,0,0
