"POPULATION AND PEOPLE","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12"
"ERP_P_34","Estimated resident population - Persons - year ended 30 June","Persons - 65-69 years (%)",NA,NA,NA,5.4,6,6.8,7,6.2,6.6
"ERP_P_35","Estimated resident population - Persons - year ended 30 June","Persons - 70-74 years (%)",NA,NA,NA,2.8,3.9,5.7,6.8,7.3,6.9
"ERP_P_36","Estimated resident population - Persons - year ended 30 June","Persons - 75-79 years (%)",NA,NA,NA,6.1,4.6,3.7,3.2,2.9,2.9
"ERP_P_37","Estimated resident population - Persons - year ended 30 June","Persons - 80-84 years (%)",NA,NA,NA,0.5,2.1,2.7,2.9,3.6,5.1
"ERP_P_38","Estimated resident population - Persons - year ended 30 June","Persons - 85 and over (%)",NA,NA,NA,1.4,0.7,0.7,NA,NA,NA
"BD_2","Births and deaths - year ended 31 December","Births (no.)",NA,NA,7,3,3,5,5,4,NA
"BD_4","Births and deaths - year ended 31 December","Deaths (no.)",NA,NA,NA,2,6,1,3,NA,NA
"MIGRATION_2","Internal and overseas migration - year ended 30 June","Internal arrivals (no.)",NA,NA,NA,23,32,13,42,29,29
"MIGRATION_3","Internal and overseas migration - year ended 30 June","Internal departures (no.)",NA,NA,NA,22,35,23,28,30,26
"MIGRATION_4","Internal and overseas migration - year ended 30 June","Net internal migration (no.)",NA,NA,NA,1,-3,-10,14,-1,3
"CENSUS_34","Aboriginal and Torres Strait Islander Peoples - Census","Aboriginal and Torres Strait Islander Peoples (no.)",4,4,NA,NA,NA,NA,5,NA,NA
"CENSUS_2","Aboriginal and Torres Strait Islander Peoples - Census","Aboriginal and Torres Strait Islander Peoples (%)",1.1,1,NA,NA,NA,NA,1.1,NA,NA
"CENSUS_4","Overseas born population - Census","Born in Oceania and Antarctica (excluding Australia) (%)",NA,6.8,NA,NA,NA,NA,7.2,NA,NA
"CENSUS_5","Overseas born population - Census","Born in North-West Europe (%)",NA,3.4,NA,NA,NA,NA,2.2,NA,NA
"CENSUS_6","Overseas born population - Census","Born in Southern and Eastern Europe (%)",NA,1,NA,NA,NA,NA,NA,NA,NA
"CENSUS_8","Overseas born population - Census","Born in South-East Asia (%)",NA,NA,NA,NA,NA,NA,1.1,NA,NA
"CENSUS_9","Overseas born population - Census","Born in North-East Asia (%)",NA,NA,NA,NA,NA,NA,1.6,NA,NA
"CENSUS_11","Overseas born population - Census","Born in Americas (%)",NA,2.6,NA,NA,NA,NA,3.1,NA,NA
"CENSUS_35","Overseas born population - Census","Total born overseas (no.)",NA,57,NA,NA,NA,NA,77,NA,NA
"CENSUS_13","Overseas born population - Census","Total born overseas (%)",NA,15,NA,NA,NA,NA,17.3,NA,NA
"CENSUS_15","Religious affiliation - Census","Buddhism (%)",0.8,NA,NA,NA,NA,NA,0.9,NA,NA
"CENSUS_16","Religious affiliation - Census","Christianity (%)",63.9,48.6,NA,NA,NA,NA,38.9,NA,NA
"CENSUS_17","Religious affiliation - Census","Hinduism (%)",0.8,NA,NA,NA,NA,NA,NA,NA,NA
"CENSUS_40","Religious affiliation - Census","Secular beliefs, other spiritual beliefs or no religion (%)",27,36.7,NA,NA,NA,NA,48.8,NA,NA
"CENSUS_22","Religious affiliation - Census","Religious affiliation inadequately described or not stated (%)",6,13.1,NA,NA,NA,NA,11.2,NA,NA
"CENSUS_36","Australian citizenship - Census","Australian citizen (no.)",325,317,NA,NA,NA,NA,376,NA,NA
"CENSUS_37","Australian citizenship - Census","Not an Australian citizen (no.)",24,26,NA,NA,NA,NA,38,NA,NA
"CENSUS_38","Australian citizenship - Census","Australian citizenship not stated (no.)",11,34,NA,NA,NA,NA,35,NA,NA
"CENSUS_29","Australian citizenship - Census","Australian citizen (%)",88.8,83.2,NA,NA,NA,NA,84.5,NA,NA
"CENSUS_30","Australian citizenship - Census","Not an Australian citizen (%)",6.6,6.8,NA,NA,NA,NA,8.5,NA,NA
"CENSUS_31","Australian citizenship - Census","Australian citizenship not stated (%)",3,8.9,NA,NA,NA,NA,7.9,NA,NA
"CENSUS_39","Speaks a language other than English at home - Census","Speaks a language other than English at home (no.)",12,19,NA,NA,NA,NA,32,NA,NA
"CENSUS_33","Speaks a language other than English at home - Census","Speaks a language other than English at home (%)",3.3,5,NA,NA,NA,NA,7.2,NA,NA
"ADFS_3","Australian Defence Force service - Persons aged 15 years and over - Census","Previously served in the Australian Defence Force (no.)",NA,NA,NA,NA,NA,NA,16,NA,NA
"ADFS_5","Australian Defence Force service - Persons aged 15 years and over - Census","Previously served in the Australian Defence Force (%)",NA,NA,NA,NA,NA,NA,4.2,NA,NA
